"burchtID";"Jaar";"status";"bewoning";"Gebied"
1;2017;"Ongekend";"Ongekend";"Haspengouw"
1;2016;"Bijburcht";"Ongekend";"Haspengouw"
1;2018;"Verdwenen";"Niet_bewoond";"Haspengouw"
2;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
2;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
3;2018;"Bijburcht";"Niet_bewoond";"Haspengouw"
3;2017;"Bijburcht";"Bewoond";"Haspengouw"
3;2016;"Bijburcht";"Ongekend";"Haspengouw"
4;2016;"Ongekend";"Niet_bewoond";"Haspengouw"
4;2018;"Ongekend";"Niet_bewoond";"Haspengouw"
5;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
5;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
6;2018;"Bijburcht";"Niet_bewoond";"Haspengouw"
6;2016;"Bijburcht";"Bewoond";"Haspengouw"
7;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
8;2017;"Hoofdburcht";"Bewoond";"Haspengouw"
8;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
8;2017;"Hoofdburcht";"Bewoond";"Haspengouw"
8;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
8;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
9;2017;"Hoofdburcht";"Bewoond";"Haspengouw"
9;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
9;2017;"Hoofdburcht";"Bewoond";"Haspengouw"
10;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
12;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
12;2017;"Hoofdburcht";"Bewoond";"Haspengouw"
12;2017;"Hoofdburcht";"Bewoond";"Haspengouw"
13;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
13;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
14;2018;"Bijburcht";"Bewoond";"Haspengouw"
14;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
15;2018;"Verdwenen";"Ongekend";"Haspengouw"
15;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
16;2017;"Hoofdburcht";"Bewoond";"Haspengouw"
16;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
17;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
17;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
18;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
19;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
19;2016;"Ongekend";"Niet_bewoond";"Haspengouw"
20;2016;"Bijburcht";"Bewoond";"Haspengouw"
20;2018;"Bijburcht";"Bewoond";"Haspengouw"
21;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
21;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
22;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
23;2017;"Hoofdburcht";"Bewoond";"Haspengouw"
23;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
24;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
24;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
25;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
26;2017;"Ongekend";"Niet_bewoond";"Haspengouw"
26;2016;"Bijburcht";"Bewoond";"Haspengouw"
27;2018;"Hoofdburcht";"Niet_bewoond";"Haspengouw"
27;2016;"Hoofdburcht";"Niet_bewoond";"Haspengouw"
28;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
28;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
29;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
29;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
30;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
30;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
30;2018;"Bijburcht";"Bewoond";"Haspengouw"
31;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
31;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
32;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
33;2017;"Hoofdburcht";"Bewoond";"Haspengouw"
33;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
34;2017;"Hoofdburcht";"Bewoond";"Haspengouw"
