meetnet;MeetfrequentieDoel;jaar;Jaardoel;Eenheid;Cyclusdoel
Aardbeivlinder;3;2016;0;Locaties;
Aardbeivlinder;3;2017;4;Locaties;
Aardbeivlinder;3;2018;4;Locaties;
Argusvlinder;6;2016;10;Locaties;30
Argusvlinder;6;2017;6;Nieuwe locaties;30
Argusvlinder;6;2018;6;Nieuwe locaties;30
Beekrombout;3;2018;5;Locaties;
Boomkikker;3;2016;20;Locaties;60
Boomkikker;3;2017;12;Nieuwe locaties;60
Boomkikker;3;2018;12;Nieuwe locaties;60
Bosbeekjuffer;3;2018;6;Nieuwe locaties;30
Bruin dikkopje;6;2016;0;Locaties;
Bruin dikkopje;6;2017;3;Locaties;
Bruin dikkopje;6;2018;4;Locaties;
Bruine eikenpage;3;2018;7;Locaties;
Gentiaanblauwtje;1;2016;7;Locaties;
Gentiaanblauwtje;1;2017;7;Locaties;
Gentiaanblauwtje;1;2018;7;Locaties;
Gerande oeverspin;1;2017;10;Bezoeken;
Gerande oeverspin;1;2018;10;Bezoeken;
Gevlekte witsnuitlibel;2;2016;15;Locaties;
Gevlekte witsnuitlibel;2;2017;20;Locaties;
Gevlekte witsnuitlibel;2;2018;20;Locaties;
Grote weerschijnvlinder;3;2016;0;Locaties;
Grote weerschijnvlinder;3;2017;0;Locaties;
Grote weerschijnvlinder;3;2018;5;Locaties;
Hazelmuis;2;2016;16;Locaties;
Hazelmuis;2;2017;16;Locaties;
Hazelmuis;2;2018;16;Locaties;
Heivlinder;3;2016;10;Locaties;30
Heivlinder;3;2017;6;Nieuwe locaties;30
Heivlinder;3;2018;6;Nieuwe locaties;30
Kamsalamander;3;2017;12;Nieuwe locaties;60
Kamsalamander;3;2018;12;Nieuwe locaties;60
Kempense heidelibel;2;2016;6;Locaties;
Kempense heidelibel;2;2017;5;Locaties;
Kempense heidelibel;2;2018;5;Locaties;
Klaverblauwtje;6;2016;0;Locaties;
Klaverblauwtje;6;2017;1;Locaties;
Klaverblauwtje;6;2018;1;Locaties;
Knoflookpad;3;2017;4;Locaties;
Knoflookpad;3;2018;3;Locaties;
Kommavlinder;3;2016;10;Locaties;
Kommavlinder;3;2017;10;Locaties;
Kommavlinder;3;2018;10;Locaties;
Lentevuurspin;1;2016;3;Locaties;
Lentevuurspin;1;2017;3;Locaties;
Lentevuurspin;1;2018;3;Locaties;
Maanwaterjuffer;2;2016;6;Locaties;
Maanwaterjuffer;2;2017;7;Locaties;
Maanwaterjuffer;2;2018;7;Locaties;
Oranje zandoogje;3;2016;0;Locaties;
Oranje zandoogje;3;2017;12;Nieuwe locaties;30
Oranje zandoogje;3;2018;6;Nieuwe locaties;30
Rivierrombout;6;2016;40;Bezoeken;
Rivierrombout;5;2017;10;Locaties;
Rivierrombout;5;2018;10;Locaties;
Roestbruine kniptor;1;2018;15;Locaties;
Rugstreeppad;1;2018;8;Locaties;47
Schaevertje;1;2017;3;Locaties;
Schavertje;1;2018;3;Locaties;
Speerwaterjuffer;2;2017;6;Locaties;
Speerwaterjuffer;2;2018;5;Locaties;
Variabele waterjuffer;3;2017;6;Nieuwe locaties;30
Variabele waterjuffer;3;2018;6;Nieuwe locaties;30
Veldparelmoervlinder;3;2016;10;Locaties;
Veldparelmoervlinder;3;2017;10;Locaties;
Veldparelmoervlinder;3;2018;10;Locaties;
Vliegend hert;3;2017;20;Bezoeken;
Vliegend hert;3;2018;20;Bezoeken;
Vroege glazenmaker;3;2017;6;Nieuwe locaties;30
Vroege glazenmaker;3;2018;6;Nieuwe locaties;30
Vuursalamander;2;2016;20;Locaties;
Vuursalamander;2;2017;35;Locaties;
Vuursalamander;2;2018;34;Locaties;
Zadelsprinkhaan;1;2016;4;Locaties;
Zadelsprinkhaan;1;2017;4;Locaties;
Zadelsprinkhaan;1;2018;5;Locaties;
Hoogveenglanslibel;2;2018;6;Locaties;
